Player,Position,SportingNews,CBS (https://www.cbssports.com/nfl/draft/news/three-round-2020-nfl-mock-draft-four-teams-trade-up-in-top-10-and-a-top-quarterback-slides/)
Chase Young,EDGE,1,2
Isaiah Simmons,LB,2,4
Jeff Okudah,CB,3,5
Derrick Brown,DT,4,11
Joe Burrow,QB,5,1
Tua Tagovailoa,QB,6,3
Mekhi Becton,OT,7,10
Jedrick Wills,OT,8,7
Ceedee Lamb,WR,9,12
Jerry Jeudy,WR,10,15
C.J. Henderson,CB,11,13
Tristan Wirfs,OT,12,8
Andrew Thomas,OT,13,9
Javon Kinlaw,DT,14,16
Henry Ruggs III,WR,15,21
Deandre Swift,RB,16,44
K'Lavon Chaisson,EDGE,17,25
Patrick Queen,LB,18,14
Xavier Mckinney,S,19,17
A.J. Epenesa,EDGE,20,35
Kenneth Murray,ILB,21,28
Justin Herbert,QB,22,6
Justin Jefferson,WR,23,23
Zach Baun,EDGE,24,36
Tee Higgins,WR,25,24
Kristian Fulton,CB,26,20
Trevon Diggs,CB,27,45
A.J. Terrell,CB,28,19
Josh Jones,OT,29,18
Jalen Reagor,WR,30,37
Brandon Aiyuk,WR,31,60
Yetur Gross-Matos,EDGE,32,40
Laviska Shenault Jr.,WR,33,42
Jeff Gladney,CB,34,43
Ross Blacklock,DT,35,31
Cesar Ruiz,G,36,26
Jaylon Johnson,CB,37,22
J.K. Dobbins,RB,38,56
Jonathon Taylor,RB,39,39
K.J. Hamler,WR,40,48
Terrell Lewis,EDGE,41,91
Antoine Winfield Jr.,S,42,47
Denzel Mims,WR,43,30
Clyde Edwards-Helaire,RB,44,76
Michael Pittman Jr.,WR,45,34
Marlon Davidson,DT,46,57
Jordan Elliott,DT,47,61
Grant Delpit,S,48,32
Chase Claypool,WR,49,80
Jordan Love,QB,50,67
Raekwon Davis,DT,51,
Ezra Cleveland,OT,52,27
Cole Kmet,TE,53,59
Isaiah Wilson,OT,54,33
Curtis Weaver,EDGE,55,54
Zack Moss,RB,56,96
Austin Jackson,OT,57,38
Cam Akers,RB,58,86
Malik Harrison,LB,59,65
Tyler Biadasz,G,60,97
Neville Gallimore,DT,61,64
Julian Okwara,EDGE,62,51
Jacob Eason,QB,63,87
Bryce Hall,CB,64,81
Lloyd Cushenberry III,G,65, 
Kyle Dugger,S,66,50
Alton Robinson,EDGE,67,
Noah Igbinoghene,CB,68,78
Bradlee Anae,EDGE,69,
Jalen Hurts,QB,70,79
Justin Madubuike,DT,71,72
Hunter Bryant,TE,72,93
Jabari Zuniga,EDGE,73,102
Cameron Dantzler,CB,74,66
Bryan Edwards,WR,75,70
Prince Tega Wanogho,OT,76,52
Jeremy Chinn,S,77,29
Brycen Hopkins,TE,78,
Tyler Johnson,WR,79,58
Damon Arnette,CB,80,100
Solomon Kindley,G,81,
Lucas Niang,OT,82,46
Robert Hunt,G,83,92
Jake Fromm,QB,84,104
Adam Trautman,TE,85,106
Netane Muti,G,86,71
K.J. Hill,WR,87,103
Jack Driscoll,OT,88,74
Jauan Jennings,WR,89,
Matt Peart,OT,90,75
Troy Pride Jr.,CB,91,83
Jonathan Greenard,EDGE,92,
John Simpson,G,93,
John Hightower,WR,94,
Darrell Taylor ,EDGE,95,68
Jonah Jackson,G,96,49
Ben Bartch,OT,97,73
Van Jefferson,WR,98,
Trey Adams,OT,99,
Darnay Holmes,CB,100,
Ashtyn Davis,S,,41
Willie Gay Jr.,LB,,53
Josh Uche,EDGE,,55
Akeem Davis-Gather,LB,,62
Terrell Burgess,S,,69
Geno Stone,S,,77
Matt Hennessy,OL,,82
Troy Dye,LB,,84
Davon Hamilton,DL,,85
Damien Lewis,OL,,88
Amik Robertson,CB,,89
K'Von Wallace,S,,90
Hakeem Adeniji,OL,,94
Kenny Willekes,EDGE,,95
Saahdiq Charles,OL,,98
Logan Wilkins,LB,,99
Antonio Gibson,RB,,101
Alex Highsmith,EDGE,,105
