player,position,walterfootball,fantasypros,sportingnews_2,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,JustinB,Saucey19,Logantooreal,rayt,username2003,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek,draftgeek_x,pft,cbs_wilson,mean,round
Chase Young,EDGE,2,2,2,1,2,1,1,2,2,2,5,1,2,3,2,2,2,1,1,1,2,2,2,1.9,round 1
Joe Burrow,QB,1,1,1,5,1,2,3,1,1,1,6,7,1,1,1,1,1,2,2,2,1,1,1,1.9,round 1
Devin Duvernay,WR,,,,3,5,3,7,3,3,3,12,3,4,6,10,,3,4,3,6,3,5,3,4.7,round 1
Justin Herbert,QB,5,5,5,2,4,4,2,4,7,4,13,5,12,11,12,3,7,5,4,3,7,8,6,6.0,round 1
Jeff Okudah,CB,9,6,3,6,3,5,6,5,8,10,1,4,13,24,7,5,6,7,5,4,5,13,5,7.0,round 1
Derrick Brown,DT,6,7,7,4,11,6,4,9,6,7,16,12,9,7,13,7,8,6,7,5,13,7,7,8.0,round 1
Isaiah Simmons,LB,8,4,9,8,7,8,17,13,11,8,,10,6,,,8,18,8,6,16,4,10,4,9.2,round 1
C.J. Henderson,CB,7,9,16,13,9,14,11,6,5,6,4,11,8,5,5,9,14,13,14,13,14,6,11,9.7,round 1
Tristan Wirfs,OT,4,11,4,12,8,10,5,15,16,5,9,21,22,8,11,4,5,16,11,7,8,4,8,9.7,round 1
Mekhi Becton,OT,14,14,10,10,15,7,9,8,4,28,3,2,5,4,3,12,21,3,8,10,21,15,13,10.4,round 1
Jedrick Wills Jr.,OT,11,8,8,9,12,9,12,11,9,23,8,8,11,14,14,11,12,,9,9,12,12,12,11.1,round 1
Andrew Thomas,OT,10,10,14,22,6,19,10,7,10,15,2,26,3,2,4,6,4,26,20,12,6,3,20,11.2,round 1
Xavier Mckinney,S,20,26,18,11,13,15,16,28,26,25,10,28,29,15,18,18,9,20,13,18,16,9,9,17.8,round 1
Ceedee Lamb,WR,12,15,11,14,16,11,15,10,19,9,59,13,24,36,43,13,17,12,10,8,22,14,16,18.2,round 1
Tua Tagovailoa,QB,3,3,6,15,21,12,13,35,27,36,47,23,18,20,44,14,13,10,12,14,18,21,15,19.1,round 1
Javon Kinlaw,DT,16,13,15,17,25,17,18,25,35,27,,20,36,,,15,16,,17,15,17,16,17,19.8,round 1
Jerry Jeudy,WR,13,12,12,21,28,21,28,12,13,19,27,24,10,35,32,16,15,17,21,26,28,28,33,21.3,round 1
Kenneth Murray,LB,15,23,28,48,32,23,14,14,17,16,7,9,15,10,8,29,35,14,25,36,,,42,21.9,round 1
K'Lavon Chaisson,EDGE,17,17,17,32,40,33,20,16,18,13,11,33,23,9,9,17,25,25,31,25,27,27,39,22.8,round 1
Tee Higgins,WR,48,22,25,26,20,20,25,17,14,12,40,19,7,22,22,26,29,,19,30,19,19,29,23.2,round 1
Austin Jackson,OT,29,29,56,20,35,28,24,22,23,11,15,17,28,17,10,27,46,9,24,23,23,18,40,25.0,round 1
Patrick Queen,LB,19,30,24,19,17,25,21,23,24,20,55,14,16,25,41,39,82,29,26,19,,17,18,27.4,round 1
Henry Ruggs III,WR,21,20,13,29,18,30,23,27,43,17,,69,43,54,,22,27,35,30,28,15,23,14,28.6,round 1
A.J. Epenesa,EDGE,39,25,23,23,23,16,27,62,,62,,44,,,,19,22,,16,24,25,20,22,28.9,round 1
Justin Jefferson,WR,24,21,21,7,10,13,8,39,63,14,64,6,63,81,79,21,11,78,15,11,11,11,10,29.6,round 1
Josh Jones,OT,31,18,30,25,24,29,22,19,15,32,66,25,14,21,17,24,71,11,34,20,,25,81,29.7,round 1
Trevon Diggs,CB,47,38,20,57,38,31,34,18,12,29,,15,21,,,23,24,,32,37,26,26,45,30.2,round 1
Zack Baun,EDGE,28,45,29,39,39,27,19,32,39,18,25,47,20,30,26,35,26,24,29,41,,,48,31.7,round 1
A.J. Terrell,CB,22,19,19,50,67,26,69,59,,51,,22,,61,,25,10,31,28,17,9,,24,33.8,round 2
Denzel Mims,WR,30,34,46,43,30,34,,,,,,,,,,40,36,,35,40,30,,30,35.7,round 2
Michael Pittman Jr.,WR,60,59,52,28,19,38,32,46,,41,41,34,,32,34,31,19,,38,38,,24,19,36.1,round 2
Marvin Wilson,DT,,,,,,,,,,,36,,,38,36,,,,,,,,,36.7,round 2
Ashtyn Davis,S,,67,,16,44,22,26,61,,45,32,29,,50,35,42,45,15,23,29,,,44,36.8,round 2
Ezra Cleveland,OT,18,4,37,81,,,37,24,32,22,38,60,33,34,52,37,,,,43,,,,36.8,round 2
Paulson Adebo,CB,,,,,,,,,,,46,,,46,38,,,21,,,,,,37.8,round 2
Neville Gallimore,DT,85,57,59,33,42,39,55,21,21,30,22,16,26,12,15,44,62,22,39,33,,,62,37.9,round 2
Jordan Love,QB,37,24,44,24,36,37,86,,,,,32,,,,36,42,,37,39,,,23,38.2,round 2
Jalen Reagor,WR,46,49,33,27,45,24,58,31,79,53,,18,79,65,,48,51,27,22,22,,22,31,41.5,round 2
Khalid Kareem,EDGE,,,92,99,,,40,20,20,31,31,39,25,13,16,85,,,,,,,,42.6,round 2
Cesar Ruiz,G,51,31,32,55,54,75,42,26,22,21,29,46,27,16,20,32,64,56,71,71,,,63,43.0,round 2
Kristian Fulton,CB,76,16,36,35,31,41,49,53,62,50,,45,62,,,20,30,77,41,34,29,,35,43.3,round 2
Lucas Niang,OT,54,60,,18,14,18,81,83,,84,,31,,,,89,28,,18,21,24,,28,43.4,round 2
John Simpson,G,,,78,36,26,43,45,,,81,,,,,,69,43,,42,35,31,31,32,45.5,round 2
Jeff Gladney,CB,32,44,22,60,97,84,38,33,28,24,39,30,30,26,31,33,,,92,85,,,,46.0,round 2
Robert Hunt,G,50,62,76,52,27,52,,,,,,,,,,46,37,,51,64,10,,26,46.1,round 2
Marlon Davidson,DT,91,65,35,31,60,35,,,,,,,,,,38,41,,36,54,,,21,46.1,round 2
Jaylon Johnson,CB,100,54,43,38,56,32,31,38,29,39,52,41,19,66,48,43,93,18,33,56,,,52,46.7,round 2
Antoine Winfield Jr.,S,36,43,38,,,,47,66,49,43,20,66,49,27,24,52,94,,,,,,,46.7,round 2
Clyde Edwards-Helaire,RB,45,45,47,71,72,54,44,37,33,42,,53,34,,,55,40,39,58,31,,,56,47.6,round 2
Brandon Aiyuk,WR,34,46,34,62,51,50,48,43,36,46,63,42,37,49,58,34,31,,54,82,,,66,48.3,round 2
Jonathan Taylor,RB,35,37,49,61,64,44,35,57,48,56,,77,48,,,49,47,41,53,44,,,41,49.2,round 2
Antonio Gandy Golden,WR,106,,,,,,90,47,31,57,26,54,32,28,25,,,,,,,,,49.6,round 2
Ross Blacklock,DT,52,40,31,42,47,48,41,,,98,,,,,,41,74,,49,32,,,51,49.7,round 2
Isaiah Wilson,OT,33,50,64,74,66,65,33,42,37,37,34,62,38,18,21,30,,62,67,84,,,79,49.8,round 2
Nick Coe,DT,78,,,,,,,69,59,,19,57,59,29,29,,,,,,,,,49.9,round 2
Lloyd Cushenberry III,G,,,65,30,37,42,46,50,55,61,82,37,55,44,51,56,55,,43,42,,,47,49.9,round 2
Jordan Elliott,DT,,85,48,37,22,40,62,65,57,59,58,59,57,62,54,60,23,51,40,48,,,38,51.3,round 2
Terrell Lewis,EDGE,53,56,42,64,81,60,50,41,38,33,30,43,39,37,53,51,,61,63,62,,,71,51.4,round 2
Grant Delpit,S,41,33,41,65, ,63,70,,,70,,,,,,45,32,,65,47,,,55,52.3,round 2
Terrell Burgess,S,101,81,,51,,,57,36,25,40,18,36,17,23,23,77,,65,94,76,,,70,52.4,round 2
Jacob Eason,QB,,,87,41,91,47,39,64,56,26,61,82,56,,61,50,20,19,45,49,,,50,52.4,round 2
Trevis Gipson,EDGE,,,,34,43,36,96,81,67,80,,35,67,,,98,34,,27,58,32,32,25,52.8,round 2
Stanford Samuels,CB,,,,,,,,55,45,82,28,63,45,53,63,,,,,,,,,54.3,round 2
Jordyn Brooks,LB,38,41,,54,33,73,61,74,52,55,,76,52,,,68,65,,64,55,,29,37,54.5,round 2
Laviska Shenault Jr.,WR,64,61,39,76,52,90,53,40,40,52,37,52,40,42,33,63,,74,81,51,,,57,54.9,round 2
Noah Igbinoghene,CB,44,70,58,,,,54,58,47,44,77,65,47,40,76,47,,79,,45,,,,56.7,round 2
Cam Akers,RB,49,79,71,,,86,43,30,30,38,,55,31,59,,59,52,52,84,88,,,67,57.2,round 2
Cole Kmet,TE,66,28,50,,41,55,76,54,46,60,,80,46,56,50,83,,,56,98,,,36,57.7,round 2
Jabari Zuniga,EDGE,,,68,63,87,69,29,29,34,35,,50,35,94,,81,76,,77,50,,,49,57.9,round 2
Justin Madubuike,DT,98,42,70,44,76,46,51,,,,,,,,,57,54,,44,69,,,54,58.8,round 2
Zack Moss,RB,63,,63,53,59,49,92,,,58,,27,,,,66,33,,50,67,,,84,58.8,round 2
Willie Gay Jr.,LB,,,,45,34,59,59,77,71,73,,84,71,,,62,83,30,57,74,,30,34,58.9,round 2
