,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,FATSAK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,VFarm1990,bkru3813,emt6000,Jackd1305,Kamikaze_Justice
0,Chase Young,EDGE,1.0,2,1.0,1.0,2.0,2.0,3.0,4.0,2.0,5.0,4.0,1.0,2.0,3.0,5.0,5.0,4.0,2.0,2.0
1,Isaiah Simmons,LB,2.0,4,4.0,2.0,4.0,7.0,19.0,16.0,4.0,13.0,15.0,5.0,12.0,11.0,21.0,12.0,15.0,12.0,3.0
2,Jeff Okudah,CB,3.0,5,,,,,,,,,,,,,,,,,
3,Derrick Brown,DT,4.0,11,6.0,4.0,9.0,6.0,4.0,18.0,7.0,16.0,8.0,12.0,9.0,7.0,3.0,9.0,8.0,13.0,7.0
4,Joe Burrow,QB,5.0,1,2.0,3.0,1.0,1.0,,7.0,1.0,6.0,27.0,7.0,1.0,1.0,,,27.0,1.0,1.0
5,Tua Tagovailoa,QB,6.0,3,5.0,6.0,5.0,8.0,1.0,2.0,10.0,1.0,1.0,4.0,13.0,24.0,1.0,1.0,1.0,7.0,5.0
6,Mekhi Becton,OT,7.0,10,13.0,8.0,39.0,63.0,28.0,64.0,14.0,64.0,70.0,6.0,63.0,81.0,20.0,27.0,70.0,79.0,21.0
7,Jedrick Wills,OT,8.0,7,8.0,17.0,13.0,11.0,,,8.0,,,10.0,6.0,,,,,,8.0
8,Ceedee Lamb,WR,9.0,12,,12.0,11.0,9.0,8.0,6.0,23.0,8.0,39.0,8.0,11.0,14.0,27.0,32.0,39.0,14.0,11.0
9,Jerry Jeudy,WR,10.0,15,7.0,9.0,8.0,4.0,2.0,3.0,28.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,12.0
10,C.J. Henderson,CB,11.0,13,15.0,16.0,28.0,26.0,18.0,12.0,25.0,10.0,16.0,28.0,29.0,15.0,16.0,18.0,16.0,18.0,18.0
11,Tristan Wirfs,OT,12.0,8,10.0,5.0,15.0,16.0,,10.0,5.0,9.0,25.0,21.0,22.0,8.0,,,25.0,11.0,4.0
12,Andrew Thomas,OT,13.0,9,14.0,11.0,6.0,5.0,6.0,13.0,6.0,4.0,2.0,11.0,8.0,5.0,6.0,6.0,2.0,5.0,9.0
13,Javon Kinlaw,DT,14.0,16,11.0,15.0,10.0,19.0,,59.0,9.0,59.0,92.0,13.0,24.0,36.0,,,92.0,43.0,13.0
14,Henry Ruggs III,WR,15.0,21,12.0,13.0,35.0,27.0,13.0,48.0,36.0,47.0,36.0,23.0,18.0,20.0,93.0,,36.0,44.0,14.0
15,Deandre Swift,RB,16.0,44,,,,,,,,,,,,,,,,,
16,K'Lavon Chaisson,EDGE,17.0,25,,18.0,25.0,35.0,,,27.0,,,20.0,36.0,,,,,,15.0
17,Patrick Queen,LB,18.0,14,18.0,81.0,83.0,,,,84.0,,,31.0,,,,,,,89.0
18,Xavier Mckinney,S,19.0,17,,,,,,,,,,,,,,,,,
19,A.J. Epenesa,EDGE,20.0,35,28.0,24.0,22.0,23.0,7.0,11.0,11.0,15.0,10.0,17.0,28.0,17.0,8.0,7.0,10.0,10.0,27.0
20,Kenneth Murray,ILB,21.0,28,21.0,28.0,12.0,13.0,,29.0,19.0,27.0,31.0,24.0,10.0,35.0,,,31.0,32.0,16.0
21,Justin Herbert,QB,22.0,6,19.0,10.0,7.0,10.0,5.0,5.0,15.0,2.0,11.0,26.0,3.0,2.0,7.0,3.0,11.0,4.0,6.0
22,Justin Jefferson,WR,23.0,23,16.0,27.0,62.0,,,,62.0,,78.0,44.0,,,,,78.0,,19.0
23,Zach Baun,EDGE,24.0,36,,,,,,,,,,,,,,,,,
24,Tee Higgins,WR,25.0,24,29.0,22.0,19.0,15.0,27.0,66.0,32.0,66.0,51.0,25.0,14.0,21.0,63.0,65.0,51.0,17.0,24.0
25,Kristian Fulton,CB,26.0,20,20.0,25.0,17.0,14.0,64.0,41.0,12.0,40.0,55.0,19.0,7.0,22.0,,,55.0,22.0,26.0
26,Trevon Diggs,CB,27.0,45,24.0,58.0,31.0,79.0,89.0,,53.0,,,18.0,79.0,65.0,79.0,80.0,,,48.0
27,A.J. Terrell,CB,28.0,19,38.0,32.0,46.0,,33.0,42.0,41.0,41.0,41.0,34.0,,32.0,31.0,35.0,41.0,34.0,31.0
28,Josh Jones,OT,29.0,18,30.0,23.0,27.0,43.0,,,17.0,,,69.0,43.0,54.0,,,,,22.0
29,Jalen Reagor,WR,30.0,37,42.0,46.0,50.0,55.0,37.0,82.0,61.0,82.0,,37.0,55.0,44.0,69.0,24.0,,51.0,56.0
30,Brandon Aiyuk,WR,31.0,60,35.0,,,,,,,,,,,,,,,,38.0
31,Yetur Gross-Matos,EDGE,32.0,40,33.0,20.0,16.0,18.0,9.0,14.0,13.0,11.0,7.0,33.0,23.0,9.0,2.0,17.0,7.0,9.0,17.0
32,Laviska Shenault Jr.,WR,33.0,42,,,,,,,,,,,,,,,,,
33,Jeff Gladney,CB,34.0,43,36.0,96.0,81.0,67.0,,,80.0,,,35.0,67.0,,,,,,98.0
34,Ross Blacklock,DT,35.0,31,41.0,49.0,53.0,62.0,,,50.0,,,45.0,62.0,,,,,,20.0
35,Cesar Ruiz,G,36.0,26,43.0,45.0,,,,,81.0,,,,,,,,,,69.0
36,Jaylon Johnson,CB,37.0,22,40.0,62.0,65.0,57.0,31.0,58.0,59.0,58.0,63.0,59.0,57.0,62.0,50.0,20.0,63.0,54.0,60.0
37,J.K. Dobbins,RB,38.0,56,32.0,31.0,38.0,29.0,36.0,53.0,39.0,52.0,47.0,41.0,19.0,66.0,39.0,43.0,47.0,48.0,43.0
38,Jonathon Taylor,RB,39.0,39,,,,,,,,,,,,,,,,,
39,K.J. Hamler,WR,40.0,48,62.0,,,,,,,,,,,,,,,,
40,Terrell Lewis,EDGE,41.0,91,47.0,39.0,64.0,56.0,48.0,61.0,26.0,61.0,50.0,82.0,56.0,,72.0,73.0,50.0,61.0,50.0
41,Antoine Winfield Jr.,S,42.0,47,48.0,41.0,,,,,98.0,,,,,,,,,,41.0
42,Denzel Mims,WR,43.0,30,34.0,,,,62.0,,,,,,,,52.0,55.0,,,40.0
43,Clyde Edwards-Helaire,RB,44.0,76,46.0,51.0,,,,,,,,,,,,,,,57.0
44,Michael Pittman Jr.,WR,45.0,34,59.0,,,,,,,,,,,,,,,,
45,Marlon Davidson,DT,46.0,57,51.0,78.0,34.0,65.0,51.0,68.0,48.0,68.0,60.0,49.0,65.0,91.0,41.0,45.0,60.0,92.0,53.0
46,Jordan Elliott,DT,47.0,61,58.0,95.0,,,,,,,,,,,,,,,
47,Grant Delpit,S,48.0,32,23.0,14.0,14.0,17.0,11.0,9.0,16.0,7.0,5.0,9.0,15.0,10.0,11.0,11.0,5.0,8.0,29.0
48,Chase Claypool,WR,49.0,80,68.0,84.0,,,,,,,,94.0,,,,,,,64.0
49,Jordan Love,QB,50.0,67,26.0,69.0,59.0,,,,51.0,,,22.0,,61.0,,,,,25.0
50,Raekwon Davis,DT,51.0,,,57.0,36.0,25.0,15.0,20.0,40.0,18.0,18.0,36.0,17.0,23.0,18.0,16.0,18.0,23.0,77.0
51,Ezra Cleveland,OT,52.0,27,52.0,,,,,,,,,,,,,,,,46.0
52,Cole Kmet,TE,53.0,59,49.0,92.0,,,,,58.0,,,27.0,,,,,,,66.0
53,Isaiah Wilson,OT,54.0,33,73.0,61.0,74.0,52.0,,,55.0,,,76.0,52.0,,,,,,68.0
54,Curtis Weaver,EDGE,55.0,54,75.0,42.0,26.0,22.0,24.0,31.0,21.0,29.0,23.0,46.0,27.0,16.0,,,23.0,20.0,32.0
55,Zack Moss,RB,56.0,96,85.0,,,,,,,,,,,,,,,,
56,Austin Jackson,OT,57.0,38,31.0,34.0,18.0,12.0,,,29.0,,,15.0,21.0,,,,,,23.0
57,Cam Akers,RB,58.0,86,61.0,72.0,,,,75.0,,75.0,80.0,74.0,,78.0,,,80.0,77.0,79.0
58,Malik Harrison,LB,59.0,65,79.0,65.0,70.0,58.0,,80.0,69.0,80.0,90.0,86.0,58.0,31.0,,,90.0,45.0,72.0
59,Tyler Biadasz,G,60.0,97,84.0,38.0,33.0,28.0,22.0,40.0,24.0,39.0,46.0,30.0,30.0,26.0,36.0,40.0,46.0,31.0,33.0
60,Neville Gallimore,DT,61.0,64,44.0,35.0,57.0,48.0,,,56.0,,,77.0,48.0,,,,,,49.0
61,Julian Okwara,EDGE,62.0,51,50.0,48.0,43.0,36.0,46.0,63.0,46.0,63.0,58.0,42.0,37.0,49.0,32.0,36.0,58.0,58.0,34.0
62,Jacob Eason,QB,63.0,87,69.0,29.0,29.0,34.0,12.0,,35.0,,,50.0,35.0,94.0,,,,,81.0
63,Bryce Hall,CB,64.0,81,60.0,50.0,41.0,38.0,21.0,39.0,33.0,30.0,24.0,43.0,39.0,37.0,19.0,26.0,24.0,53.0,51.0
64,Lloyd Cushenberry III,G,65.0, ,,,,,,,,,,,,,,,,,
65,Kyle Dugger,S,66.0,50,56.0,,,,,,,,,61.0,,,,,,,93.0
66,Alton Robinson,EDGE,67.0,,,,,,83.0,78.0,,78.0,76.0,,,82.0,75.0,76.0,76.0,81.0,
