,Unnamed: 0,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek
4,4,Joe Burrow,QB,5,1,2,3,1,1,7,1,6,27,7,1,1,27,1,1,1,2,2,2
0,0,Chase Young,EDGE,1,2,1,1,2,2,4,2,5,4,1,2,3,4,2,2,2,1,1,1
5,5,Tua Tagovailoa,QB,6,3,5,6,5,8,2,10,1,1,4,13,24,1,7,5,6,7,5,4
1,1,Isaiah Simmons,LB,2,4,4,2,4,7,16,4,13,15,5,12,11,15,12,3,7,5,4,3
2,2,Jeff Okudah,CB,3,5,3,7,3,3,15,3,12,86,3,4,6,6,10,,3,4,3,6
21,21,Justin Herbert,QB,22,6,19,10,7,10,5,15,2,11,26,3,2,11,4,6,4,26,20,12
7,7,Jedrick Wills,OT,8,7,8,17,13,11,,8,,,10,6,,,,8,18,,6,16
11,11,Tristan Wirfs,OT,12,8,10,5,15,16,10,5,9,25,21,22,8,25,11,4,5,16,11,7
12,12,Andrew Thomas,OT,13,9,14,11,6,5,13,6,4,2,11,8,5,2,5,9,14,13,14,13
6,6,Mekhi Becton,OT,7,10,13,8,39,63,64,14,64,70,6,63,81,70,79,21,11,78,15,11
3,3,Derrick Brown,DT,4,11,6,4,9,6,18,7,16,8,12,9,7,8,13,7,8,6,7,5
8,8,Ceedee Lamb,WR,9,12,9,12,11,9,6,23,8,39,8,11,14,39,14,11,12,,9,9
10,10,C.J. Henderson,CB,11,13,15,16,28,26,12,25,10,16,28,29,15,16,18,18,9,20,13,18
17,17,Patrick Queen,LB,18,14,18,81,83,,,84,,,31,,,,,89,28,,18,21
9,9,Jerry Jeudy,WR,10,15,7,9,8,4,3,28,3,3,2,5,4,3,3,12,21,3,8,10
13,13,Javon Kinlaw,DT,14,16,11,15,10,19,59,9,59,92,13,24,36,92,43,13,17,12,10,8
18,18,Xavier Mckinney,S,19,17,25,21,23,24,55,20,55,73,14,16,25,73,41,39,82,29,26,19
28,28,Josh Jones,OT,29,18,30,23,27,43,,17,,,69,43,54,,,22,,35,30,28
27,27,A.J. Terrell,CB,28,19,38,32,46,,42,41,41,41,34,,32,41,34,31,19,,38,38
25,25,Kristian Fulton,CB,26,20,20,25,17,14,41,12,40,55,19,7,22,55,22,26,29,,19,30
14,14,Henry Ruggs III,WR,15,21,12,13,35,27,48,36,47,36,23,18,20,36,44,14,13,10,12,14
36,36,Jaylon Johnson,CB,37,22,40,62,65,57,58,59,58,63,59,57,62,63,54,60,23,51,40,48
22,22,Justin Jefferson,WR,23,23,16,27,62,,,62,,78,44,,,78,,19,22,,16,24
24,24,Tee Higgins,WR,25,24,29,22,19,15,66,32,66,51,25,14,21,51,17,24,71,11,34,20
16,16,K'Lavon Chaisson,EDGE,17,25,17,18,25,35,,27,,,20,36,,,,15,16,,17,15
35,35,Cesar Ruiz,G,36,26,43,45,,,,81,,,,,,,,69,43,,42,35
51,51,Ezra Cleveland,OT,52,27,52,,,,,,,,,,,,,46,37,,51,64
20,20,Kenneth Murray,ILB,21,28,21,28,12,13,29,19,27,31,24,10,35,31,32,16,15,17,21,26
77,77,Jeremy Chinn,S,77,29,53,,,,,,,,,,,,,,50,,47,95
42,42,Denzel Mims,WR,43,30,34,,,,,,,,,,,,,40,36,,35,40
34,34,Ross Blacklock,DT,35,31,41,49,53,62,,50,,,45,62,,,,20,30,77,41,34
47,47,Grant Delpit,S,48,32,23,14,14,17,9,16,7,5,9,15,10,5,8,29,35,14,25,36
53,53,Isaiah Wilson,OT,54,33,73,61,74,52,,55,,,76,52,,,,68,65,,64,55
44,44,Michael Pittman Jr.,WR,45,34,59,59,77,71,,73,,,84,71,,,,62,83,30,57,74
19,19,A.J. Epenesa,EDGE,20,35,28,24,22,23,11,11,15,10,17,28,17,10,10,27,46,9,24,23
23,23,Zach Baun,EDGE,24,36,37,86,,,,,,,32,,,,,36,42,,37,39
29,29,Jalen Reagor,WR,30,37,42,46,50,55,82,61,82,,37,55,44,,51,56,55,,43,42
56,56,Austin Jackson,OT,57,38,31,34,18,12,,29,,,15,21,,,,23,24,,32,37
38,38,Jonathon Taylor,RB,39,39,27,19,32,39,8,18,25,13,47,20,30,13,26,35,26,24,29,41
31,31,Yetur Gross-Matos,EDGE,32,40,33,20,16,18,14,13,11,7,33,23,9,7,9,17,,25,31,25
101,101,Ashtyn Davis,S,,41,55,76,54,46,,60,,,80,46,56,,50,83,,,56,98
32,32,Laviska Shenault Jr.,WR,33,42,39,55,21,21,24,30,22,12,16,26,12,12,15,44,62,22,39,33
33,33,Jeff Gladney,CB,34,43,36,96,81,67,,80,,,35,67,,,,98,34,,27,58
15,15,Deandre Swift,RB,16,44,22,26,61,,27,45,32,22,29,,50,22,35,42,45,15,23,29
26,26,Trevon Diggs,CB,27,45,24,58,31,79,,53,,,18,79,65,,,48,51,27,22,22
82,82,Lucas Niang,OT,82,46,67,,,,85,,85,,,,92,,90,54,,,72,
41,41,Antoine Winfield Jr.,S,42,47,48,41,,,,98,,,,,,,,41,74,,49,32
39,39,K.J. Hamler,WR,40,48,62,66,68,66,,67,,,40,66,41,,86,87,59,,59,61
96,96,Jonah Jackson,G,96,49,94,,,,,,,,,,,,,,95,,,
65,65,Kyle Dugger,S,66,50,56,,,,,,,,61,,,,,93,89,,52,46
61,61,Julian Okwara,EDGE,62,51,50,48,43,36,63,46,63,58,42,37,49,58,58,34,31,,54,82
76,76,Prince Tega Wanogho,OT,76,52,90,53,40,40,37,52,37,33,52,40,42,33,33,63,,74,81,51
102,102,Willie Gay Jr.,LB,,53,95,,,,,,,,,,,,,,,,80,
54,54,Curtis Weaver,EDGE,55,54,75,42,26,22,31,21,29,23,46,27,16,23,20,32,64,56,71,71
103,103,Josh Uche,EDGE,,55,70,,75,82,,,,,64,82,,,,,56,,61,83
37,37,J.K. Dobbins,RB,38,56,32,31,38,29,53,39,52,47,41,19,66,47,48,43,93,18,33,56
